question,label
결제 하면 될까요,S-PAY O O
결제할게요,S-PAY
네 결제할게요,O S-PAY
그냥 결제해주세요,O S-PAY
결제할래요,S-PAY
계산할게요,S-PAY
네 계산할게요,O S-PAY
이제 계산할게요,O S-PAY
이제 계산해주세요,O S-PAY
그냥 계산하겠습니다,O S-PAY
결제하겠습니다,S-PAY
결제 하겠습니다,S-PAY O
계산 하겠습니다,S-PAY O
계산하겠습니다,S-PAY
네 이제 계산할게요,O O S-PAY
계산 좀 하겠습니다,S-PAY O O
계산하겠습니다,S-PAY
결제하겠습니다,S-PAY
이제 결제 하겠습니다,O S-PAY O
아니요 계산하겠습니다,O S-PAY
아니요 결제할래요,O S-PAY
아니요 그냥 결제 할게요,O O S-PAY O
아니요 그냥 계산 해주세요,O O S-PAY O
이제 계산 할게요,O S-PAY O
이제 결제 할게요,O S-PAY O
이제 결제 해줘,O S-PAY O
결제 해줘,S-PAY O
계산 해줘,S-PAY O
계산 해줄래,S-PAY O
계산 해주세요,S-PAY O
그럼 계산 부탁드리겠습니다,O S-PAY O
그럼 결제 부탁드리겠습니다,O S-PAY O
네 결제 부탁드려요,O S-PAY O
네 계산 부탁드려요,O S-PAY O
그럼 계산 해주세요,O S-PAY O
그럼 결제 해주세요,O S-PAY O
좋아 계산해줘,O S-PAY
응 계산해줄래,O S-PAY
계산 좀 해주세요,S-PAY O O
결제 좀 해주세요,S-PAY O O
네 계산해주세요,O S-PAY
그냥 결제해주세요,O S-PAY
그냥 결제해주세요,O S-PAY
네 결제해 주세요,O S-PAY O
결제해주시겠어요,S-PAY
결제 부탁드려요,S-PAY O
이제 계산할게요,O S-PAY
계산하겠습니다,S-PAY
계산 부탁해요,S-PAY O
계산 할게요,S-PAY O
이제 계산하겠습니다,O S-PAY
계산 부탁드려요,S-PAY O
이제 계산할게요,O S-PAY
계산하겠습니다,S-PAY
계산 부탁해요,S-PAY O
계산 할게요,S-PAY O
이제 계산하겠습니다,O S-PAY
계산 부탁드려요,S-PAY O
이제 계산할게요,O S-PAY
계산하겠습니다,S-PAY
계산 부탁해요,S-PAY O
계산 할게요,S-PAY O
이제 계산하겠습니다,O S-PAY
계산 부탁드려요,S-PAY O
그냥 결제할게요,O S-PAY
그냥 계산할게요,O S-PAY
결제할게요,S-PAY
계산할게요,S-PAY
계산할래요,S-PAY
결제할래요,S-PAY
그냥 결제할게요,O S-PAY
그냥 계산할게요,O S-PAY
결제할게요,S-PAY
