question,label,slot,template
야 먼지 알려주겠니,dust,,오늘 서울의 미세먼지는 {CRAWL}입니다.
토요일 먼지 알려줘,dust,DATE,{DATE} 서울의 미세먼지는 {CRAWL}입니다.
전주 미세먼지 어떤지 말해줘,dust,LOCATION,오늘 {LOCATION}의 미세먼지는 {CRAWL}입니다.
서울 다음 주 먼지 알려줄래요,dust,LOCATION^DATE,{DATE} {LOCATION}의 미세먼지는 {CRAWL}입니다.
그럼 서천 양 꼬치 식당 추천해 줘,restaurant,LOCATION^RESTAURANT, 물어보신 {LOCATION}의 추천 {RESTAURANT}식당은 {CRAWL}입니다.
주변 맛집 알고싶어,restaurant,,당신의 주변 추천 식당은 {CRAWL}입니다.
시흥 괜찮은 식당 추천해 주라,restaurant,LOCATION,{LOCATION} 주변의 추천 식당은 {CRAWL}입니다.
인기 많은 팥빵 빵집 추천 좀 해줄래,restaurant,RESTAURANT,{RESTAURANT}으로 유명한 식당은 {CRAWL}입니다.
내일 화천 여행 가는데 원조 갈까,restaurant,DATE^LOCATION,{LOCATION}의 추천 관광지는 {CRAWL}입니다.
서울 꽃구경 가고 싶다고,travel,LOCATION^PLACE,{LOCATION}의 {PLACE} 추천 관광지는 {CRAWL}입니다.
인천 바다 보러 갈거 같아,travel,PLACE,{PLACE}의 추천 관광지는 {CRAWL}입니다.
어느 관광지 좋을까,travel,,저의 추천 관광지는 {CRAWL}입니다.
쉬고 싶은데 갈만한 천안 구경거리 어디 갈까,travel,LOCATION,{LOCATION}의 추천 관광지는 {CRAWL}입니다.
강원 오봉산 가을 연극 할래,travel,LOCATION^PLACE^DATE^PLACE,{DATE} {LOCATION}의 {PLACE} 추천 관광지는 {CRAWL}입니다.
여름 갈만한 촬영장 알려주세요,travel,DATE,{DATE}의 추천 관광지는 {CRAWL}입니다.
여름 여행지 알려줘,travel,DATE^PLACE,{DATE} {PLACE}의 추천 관광지는 {CRAWL}입니다.
다음 달 아마 충남 태안 놀러 가는데 어디 갈까,travel,DATE^LOCATION,{DATE} {LOCATION}의 추천 관광지는 {CRAWL}입니다.
날씨 알려주겠니,weather,,오늘 서울의 날씨는 {CRAWL}입니다.
아하 과천 날씨 맑을까,weather,LOCATION,오늘 {LOCATION}의 날씨는 {CRAWL}입니다.
밀양 지금 기온 시원해,weather,LOCATION^DATE,{DATE} {LOCATION}의 날씨는 {CRAWL}입니다.
모레 기온 알려줘,weather,DATE,{DATE} 서울의 날씨는 {CRAWL}입니다.
